page_url,drug_name,price,description,rating,num_of_reviews,category
www.proficosmetics.ru/catalog/3046252/,"Скраб для очищения пор с центеллой азиатской, в пирамидках / CICA FARM 7 г",60,"Скраб для лица с содой и центеллой азиатской Farmstay Cica Farm Baking Powder Pore Scrub в милых пирамидках идеально отшелушивает ороговевшие клетки эпидермиса, очищает поры от загрязнений и остатков косметики, выравнивает микрорельеф, придает коже гладкость и мягкость. Содержит кислотный комплекс...                             ",4.75,8,скраб
www.proficosmetics.ru/catalog/87069/,Гель-скраб для лица / EXPERT PURE GEL EXFOLIANT 75 мл ,595,"Очищающий гель-скраб  придает коже ощущение чистоты и свежести. Благодаря натуральным микрогранулам обновляет кожу, удаляя ороговевшие клетки и загрязнения. Эффективно борется с «чёрными точками», сокращает поры и контролирует выделение кожного себума. Благодаря экстракту сока Нони...                             ",5.0,7,скраб
www.proficosmetics.ru/catalog/119010/,Скраб очищающий сахарный Пиг-ноуз / Pig-nose Clear Black Head Cleansing Sugar Scrub 30 мл,712,"Сахарный скраб ""Пиг-ноуз"" прекрасно очищает кожу лица, удаляя загрязнения из пор, выравнивая поверхность кожи, регулируя секрецию сальных желез. Благодаря небольшому размеру и ровную гладкую поверхности, частички средства не травмируют кожу при использовании. Розовая глина в составе...                             ",5.0,6,скраб
