page_url,drug_name,price,description,rating,num_of_reviews,category
www.proficosmetics.ru/catalog/135838/,Сыворотка Витаминный комплекс 30 мл,667,"Действие комплекса обусловлено входящими в его состав витаминами и базовыми маслами. Все витамины находятся в жирорастворимой форме и адекватной концентрации, что дает мощный пролонгированный антиоксидантный эффект. Обеспечивает коже всесторонний оздоравливающий уход. Все типы старения кожи, акне...                             ",4.76,20,сыворотка
www.proficosmetics.ru/catalog/52689/,Сыворотка восстанавливающая с фруктовыми кислотами 30 мл,1530,"Сыворотка с содержанием фруктовых кислот обладает мягким эксфолиирующим действием. Средство эффективно размягчает верхний слой кожи, обеспечивая отшелушивание ороговевших клеток. Устраняет тусклый и безжизненный цвет лица, придавая коже сияющий и ровный тон. Сыворотка осветляет кожу и борется с...                             ",4.74,19,сыворотка
www.proficosmetics.ru/catalog/2147756/,Крем-сыворотка для лица / Anti-Age Retiderm 0.25 30 г,1725,"Retiderm 0.25 - это лёгкая, кремообразная сыворотка, содержащая 0,25% активного ретинола двух видов: свободного и инкапсулированного в липосомах. Крем-сыворотка эффективно борется с морщинами и другими признаками фото- и хроностарения, пигментацией, воспалениями, потерей эластичности, расширенными...                             ",4.88,17,сыворотка
www.proficosmetics.ru/catalog/136420/,Сыворотка Стоп акне / Anti-acne 30 г,1850,"Сыворотка «Стоп-Акне» - это средство для интенсивного и профилактического ухода за кожей, склонной к воспалениям и пигментации, в том числе при розацеа и демодекозе. Биологически активный комплекс с азелаиновой кислотой и глицином ингибирует синтез меланина, блокируя фермент тирозиназу, тем самым...                             ",4.83,13,сыворотка
www.proficosmetics.ru/catalog/111741/,Сыворотка-восстановление обновляющая ночная / Renew & Repair Night Treatment Comodex 50 мл,2905,"Оказывает себорегулирующее и&amp;nbsp;противовоспалительное действие. Осветляет постакне-пигментацию и&amp;nbsp;рубцы, улучшает тон кожи в&amp;nbsp;целом. Устраняет шелушение, выравнивает рельеф, разглаживает кожу. Уменьшает частоту появления новых воспалительных элементов,...                             ",4.78,10,сыворотка
www.proficosmetics.ru/catalog/136666/,Сыворотка балансирующая для проблемной кожи / Armony Serum 50 мл,3120,"Препарат для комплексного ухода за жирной и проблемной кожей обеспечивает выраженный себостатический, кератолитический и антибактериальный эффект, благодаря присутствию в его составе экстрактов коры белой ивы и корня ириса флорентийского, салициловой кислоты, сульфата цинка, концентрата мануки....                             ",4.67,6,сыворотка
www.proficosmetics.ru/catalog/42194/,Крем-сыворотка SOS / Homework 15 мл,695,"Эффективное средство «скорой помощи» для профилактики воспаления или ускорения регенерации кожи после удаления элементов акне. Уход за жирной кожей, осложненной акне, в т.ч. после удаления угревых элементов. Оказывает быстрый и мощный противовоспалительный, антибактериальный, противомикробный и...                             ",5.0,5,сыворотка
www.proficosmetics.ru/catalog/106258/,Сыворотка антиугревая / Velour Active 30 мл,1090,"Сыворотка оказывает себорегулирующее, противовоспалительное и иммуномодулирующее действие, устраняя воспалительные элементы и препятствуя возникновению новых. Является профилактическим средством жирной себореи и акне. Входящий в состав экстракт зеленого томата с высоким содержанием томатидина,...                             ",4.75,5,сыворотка
