page_url,drug_name,price,description,rating,num_of_reviews,category
www.proficosmetics.ru/catalog/119074/,Мист-скатка отшелушивающий с лимоном Смузи Пилинг / Smoothie Peeling Mist Lemon Squash 150 мл,776,"Настоящий витаминный заряд для вашей кожи! Легкий пилинг-мист на основе лимонного сока, мягко очищает кожу от ороговевших частиц и обогащает кожу кислородом. Осветляет черные точки, следы постакне. Стимулирует выработку коллагена, борется с признаками преждевременного старения. Экстракт плодов...                             ",4.77,14,пилинг
www.proficosmetics.ru/catalog/44029/,Пилинг-гоммаж 50 мл,750,"Восхитительный мягкий крем-пилинг высочайшего класса, на основе мягких полимерных гранул и комплекса растительных экстрактов, которые увлажняют и питают кожу, а также отбеливают и защищают ее. Для любого типа кожи, в том числе для чувствительной. Тщательно и деликатно удаляет загрязнения,...                             ",4.91,12,пилинг
www.proficosmetics.ru/catalog/72330/,Крем-пилинг мягкого действия с фруктовыми кислотами 50 мл,840,"Крем-пилинг предназначен для специального ухода за кожей любого типа, включая чувствительную и сухую. Крем содержит в своем составе фруктовые кислоты в концентрации, которая позволяет оказывать интенсивное, максимально щадящее воздействие на кожу. Крем выравнивает рельеф и цвет жирной кожи в...                             ",4.9,11,пилинг
www.proficosmetics.ru/catalog/82966/,Пилинг омолаживающий с голубым ретинолом и фруктовыми кислотами рН3 30 мл,540,"Омолаживающий пилинг ""Огненный топаз"" с голубым ретинолом и фруктовыми кислотами (рН 3) нежно и эффективно снимает ороговевшие слои, одновременно очищая, питая и увлажняя кожу. Уже после первой процедуры запускаются процессы обновления клеток, кожа омолаживается, выравнивается её цвет,...                             ",4.5,11,пилинг
www.proficosmetics.ru/catalog/51475/,"Гель-пилинг с хитозаном, на основе гликолевой кислоты 10% (pH 2,8) / Easy Peel 130 мл проф.",2595,"Разработан для наилучшей подготовки кожи к проведению коллагеновых процедур. Гликолевая кислота удаляет верхние слои эпидермиса, повышая биодоступность коллагена, стимулирует синтез собственного коллагена кожи, уменьшает складки и морщинки, постепенно обесцвечивает участки гиперпигментации. Хитозан...                             ",5.0,10,пилинг
www.proficosmetics.ru/catalog/159537/,Пилинг с молочной кислотой для лица / Homework PERFECT MILKPEEL 100 мл ,1545,Пилинг с молочной кислотой для лица Homework PERFECT MILKPEEL - средство на базе молочной кислоты для применения в домашних условиях на этапе глубокого очищения. Содержащиеся в препарате протеины йогурта защищают от раздражения и способствуют улучшению иммунного статуса кожи. Эффективно удаляет...                             ,5.0,7,пилинг
www.proficosmetics.ru/catalog/136748/,Пилинг с гликолевой кислотой / Glycolev 6*3 мл,1090,"Препарат GLYCOLEV имеет гелевую структуру, что обеспечивает равномерное нанесение на кожу. Глубоко очищает кожу, уменьшает поры, корректирует возрастные изменения (морщины, пигментные пятна, уплотнение кожи), дает постепенное осветление, смягчение и обновление, подготавливает кожу к применению...                             ",4.86,7,пилинг
www.proficosmetics.ru/catalog/75579/,Пилинг с папаином и экстрактом виноградных косточек / Natural Peel 150 г,1115,"Рекомендуется для кожи с признаками купероза, склонной к синякам и отекам. Каолин адсорбирует кожное сало, мягко отшелушивает, является природным антисептиком. Протеолитический фермент папаин способствует эффективной эксфолиации рогового слоя эпидермиса, запускает процессы обновления, удаляет...                             ",5.0,6,пилинг
www.proficosmetics.ru/catalog/1014017/,"Диск отшелушивающий с зеленым виноградом, в индивидуальной упаковке 3 мл",75,"Диск отшелушивающий с зеленым виноградом, в индивидуальной упаковке имеет специальную рельефную поверхность для эффективного отшелушивания омертвевших клеток и очищения пор. Сыворотка, которой пропитан диск, содержит экстракт зеленого винограда, богатый танинами. Танины регулируют себовыделение и...                             ",4.5,6,пилинг
www.proficosmetics.ru/catalog/50912/,Пилинг кристаллический Ананасовый / Crystal Peeling Ananas CLEAR 60 мл,2490,"Запатентованный натуральный продукт представляет собой модулярный кристаллический пилинг на основе солей Мертвого моря, воска жожоба, экстракта ананаса и масла календулы. Предназначен для всех типов кожи. Полностью растворяется водой и легко удаляется с кожи, не оставляя частиц или гранул. Идеально...                             ",4.5,5,пилинг
