page_url,drug_name,price,description,rating,num_of_reviews
www.proficosmetics.ru/catalog/161356/,Маска для лица c тремя видами плаценты / Pure Essence Premium 30 шт,2305,Маска для лица c тремя видами плаценты Pure Essence Premium создана для совершенного ухода за Вашей кожей. Основными высококачественными компонентами масок являются 3 вида плаценты и 7 растительных экстрактов. Маски подходят для всех типов кожи. Каждый из трех видов плаценты обладает своими...                             ,No rating,No reviews
www.proficosmetics.ru/catalog/910617/,Маска-экспресс восстанавливающая для проблемной кожи / MAGIC–PRO REPAIR MASK 26 мл ,339,"Профессиональная тканевая маска улучшает состояние проблемной кожи: сужает поры, выравнивает тон, снимает покраснения и борется с воспалениями. Пропитана высококонцентрированной сывороткой на основе гиалуроновой кислоты, растительных полисахаридов и себорегулирующего противовоспалительного...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/2991591/,Маска тканевая витаминизирующая с коллагеном для лица / Vitamin Collagen Essence Mask 23 г,115,"Маска Vitamin Collagen Essence Mask насыщает кожу лица энергией. В результате кожа выглядит свежей и увлажненной, выравнивается ее тон, уменьшается пигментация и постакне. Витамин С улучшает цвет лица, очищает и придает сияние, а также оказывает антиоксидантное действие. Витамин Е питает,...                             ",5.0,1
www.proficosmetics.ru/catalog/2553311/,Маска тканевая выравнивающая тон кожи с экстрактом папайи 20 мл,65,"Энергия тропических фруктов для здоровья и сияния вашей кожи! Экстракт папайи оказывает кератолитическое воздействие: расщепляет ороговевшие частички эпидермиса, способствуя его обновлению, и стимулирует клеточный метаболизм. Тканевая маска с экстрактом папайи выравнивает текстуру и тон кожи,...                             ",4.86,7
www.proficosmetics.ru/catalog/3058847/,Маска хлорофилл-каротиновая ANTI-ACNE ACTIVE MASK 100 мл,721,"Маска предназначена для интенсивного ухода за жирной и проблемной кожей лица. Борется с воспалениями, способствует устранению акне, комедонов, сужает поры. Оказывает бактерицидное, противовоспалительное и себорегулирующее действие. Стимулирует клеточное обновление. Убирает постакне, улучшает...                             ",5.0,3
www.proficosmetics.ru/catalog/3076836/,Маска очищающая матирующая для лица / EFFACLAR 100 мл,1760,"Очищающая матирующая маска предназначена для ухода за жирной проблемной кожей. Глубоко очищает кожу и поры, заметно сокращая их, абсорбирует излишки кожного сала. При регулярном применении уменьшается выделение себума, кожа длительно сохраняет матовость. Подходит даже для очень чувствительной кожи.                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3063628/,Маска себорегулирующая с белой и зеленой глиной / SERACIN 75 мл,700,"Маска устраняет все основные проблемы, характерные для жирной кожи, склонной к появлению акне. Оказывает выраженное действие сразу на несколько проблематик, характерных для жирной кожи и кожи с акне и устраняет все основные проблемы: - регулирует работу сальных желез, - удаляет излишне выделенный...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3101556/,Маска-эссенция тканевая для лица с муцином улитки 25 гр,342,"Активный уход за считанные минуты – ухоженная кожа! Реабилитация, регенерация, осветление. Маска для лица на основе муцина улитки моментально увлажняет, снимает раздражение и сухость, смягчает. Способствует осветлению гиперпигментации и постакне, выравнивает микрорельеф, придаёт упругость и...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3101559/,Маска тканевая омолаживающая для лица с ниацинамидом 25 гр,342,"Два в одном! Интенсивность маски и эффект крема! Осветление, разглаживание, омоложение. Эффективный уход для сухой, чувствительной кожи с пигментацией. Возвращает мягкость и упругость, оказывает разглаживающее действие, осветляет, борется с пигментацией, постакне, выравнивает цвет и тон кожи,...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3101562/,Маска-сыворотка тканевая для лица с витамином С 25 гр,342,"Активный уход, считанные минуты – ухоженная кожа! Anti-age, осветление, увлажнение, разглаживание. Мгновенное выравнивание цвета и тона кожи. Маска для лица с витамином C осветляет, борется с пигментацией и постакне, глубоко и длительно увлажняет, разглаживает кожные заломы. Зрительно уменьшает...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3099753/,Бифидомаска тканевая для лица очищение и обновление 22 гр,215,"Продукты NORMOFLOR с пробиотическим комплексом способствуют восстановлению микробиома кожи, защищают ее от стресса и агрессивных внешних факторов. Тканевая бифидомаска для лица ""Очищение и обновление"" глубоко очищает поры, обладает подсушивающим и матирующим действием. Уменьшается...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3115257/,Маска-скраб глиняная для проблемной кожи лица Сера и цинк 100 гр,420,"Маска для проблемной кожи содержит биологически активную серу, которая глубоко проникает в сальные фолликулы, регулирует работу сальной железы и снижает воспаление. При этом воспалительные узелки на коже бледнеют, уменьшаются в размере и быстро рассасываются, почти не оставляя пятен. Сера подавляет...                             ",No rating,No reviews
