page_url,drug_name,price,description,rating,num_of_reviews,category
www.proficosmetics.ru/catalog/99302/,"Сыворотка-лифтинг с пептидами, в ампулах / Skin Contour Fluid 1*2 мл",236,"Skin Contour Fluid содержит стимулирующие синтез эластина пептиды, которые заметно подтягивают контуры лица. Пептиды обладают инновационным принципом прицельного воздействия на синтез эластина и эластиновую ткань в целом. Исследования in vivo показывают, что люди, использующие данные ампулы, ясно...                             ",4.8,47,сыворотка
www.proficosmetics.ru/catalog/99300/,"Сыворотка-лифтинг с пептидами, в ампулах / Skin Contour Fluid 7*2 мл",2472,"Skin Contour Fluid содержит стимулирующие синтез эластина пептиды, которые заметно подтягивают контуры лица. Пептиды обладают инновационным принципом прицельного воздействия на синтез эластина и эластиновую ткань в целом. Исследования in vivo показывают, что люди, использующие данные ампулы, ясно...                             ",4.8,47,сыворотка
www.proficosmetics.ru/catalog/99301/,"Сыворотка-лифтинг с пептидами, в ампулах / Skin Contour Fluid 3*2 мл",984,"Skin Contour Fluid содержит стимулирующие синтез эластина пептиды, которые заметно подтягивают контуры лица. Пептиды обладают инновационным принципом прицельного воздействия на синтез эластина и эластиновую ткань в целом. Исследования in vivo показывают, что люди, использующие данные ампулы, ясно...                             ",4.8,47,сыворотка
www.proficosmetics.ru/catalog/157045/,"Сыворотка-лифтинг с пептидами, в ампулах / Skin Contour Fluid 25*2 мл",5916,"Skin Contour Fluid содержит стимулирующие синтез эластина пептиды, которые заметно подтягивают контуры лица. Пептиды обладают инновационным принципом прицельного воздействия на синтез эластина и эластиновую ткань в целом. Исследования in vivo показывают, что люди, использующие данные ампулы, ясно...                             ",4.8,47,сыворотка
www.proficosmetics.ru/catalog/28574/,Милликапсулы / Millicapsules C THE SUCCESS 30 мл,7260,"Высококонцентрированная сыворотка с витамином С. Милликапсулы содержат растворимую в масле форму витамина С - аскорбил пальмитат, гель содержит водорастворимую форму витамина С - L-аскорбиновую кислоту. При нанесении препарата на кожу содержимое милликапсул смешивается с гелем, и вместе они...                             ",4.71,39,сыворотка
www.proficosmetics.ru/catalog/86334/,Сыворотка антикуперозная с эффектом лазерной коагуляции / Perfect Tone 30 мл,1220,"Капилляропротектор для ухода за тонкой чувствительной кожей с выраженной сосудистой сеткой. Нормализует проницаемость капилляров, укрепляет их стенки и улучшает их функциональность. Экстракт «зеленой икры» («морского винограда») - уникальный ингредиент по беспрецедентному содержанию полисахаридов,...                             ",4.71,21,сыворотка
www.proficosmetics.ru/catalog/85254/,Сыворотка Очарование / Alluring Serum Bio Phyto 30 мл,5345,"В составе сыворотки — увлажняющие компоненты, растительные экстракты и стабильная форма витамина С, которые быстро и эффективно возвращают коже упругость и эластичность, укрепляют сосудистую стенку капилляров, выравнивают цвет лица. Восстанавливает целостность рогового...                             ",5.0,10,сыворотка
www.proficosmetics.ru/catalog/28684/,Сыворотка мультивитаминная / Multivitamin Serum C THE SUCCESS 30 мл,7570,"HOLY LAND Cosmetics - одна из лабораторий, имеющих богатый опыт создания новых формул, содержащих витамины в активно действующих концентрациях. Мультивитаминная сыворотка Multivitamin Serum содержит настоящий коктейль важнейших для здоровья кожи витаминов (А, Е, F, Н, К, группы В), а также...                             ",4.71,10,сыворотка
www.proficosmetics.ru/catalog/106331/,Сыворотка ревитализирующая с пептидами и черной икрой 5*2 мл,907,"Оказывает исключительное омолаживающее, увлажняющее, регенерирующее действие. Экстракт черной икры – не имеющий аналогов природный активатор восстановления энергетического потенциала и жизненных сил кожи с признаками возрастных изменений, всемирно известный своими уникальными омолаживающими...                             ",5.0,6,сыворотка
